LoanID,CopyNo,ISBN,MemberID,CheckedOutDate,DueDate,ReturnedDate
1,62,189137654-3,772,8/30/2017,9/13/2017,9/21/2017
2,20,795133603-3,359,8/28/2015,9/11/2015,8/23/2016
3,726,800886928-3,264,5/25/2017,6/8/2017,10/1/2017
4,193,450093587-8,169,3/6/2015,3/20/2015,10/17/2015
5,598,672024777-8,148,7/10/2017,7/24/2017,10/12/2017
6,667,048799995-9,75,10/31/2015,11/14/2015,11/2/2015
7,677,239172501-9,364,5/16/2017,5/30/2017,9/28/2017
8,973,580170209-1,554,3/23/2017,4/6/2017,4/11/2017
9,381,753172254-2,364,1/20/2016,2/3/2016,8/13/2017
10,796,319387891-X,848,2/29/2016,3/14/2016,6/4/2016
11,735,704389432-8,893,8/1/2016,8/15/2016,8/5/2016
12,644,443002161-9,210,7/7/2015,7/21/2015,5/31/2016
13,466,129425237-2,3,4/14/2016,4/28/2016,8/21/2017
14,328,019046884-X,29,12/22/2015,1/5/2016,12/13/2016
15,297,487000051-2,696,2/4/2016,2/18/2016,2/26/2017
16,295,824243827-7,791,12/10/2014,12/24/2014,12/25/2014
17,982,815363079-2,599,9/7/2017,9/21/2017,9/20/2017
18,227,031763633-2,57,1/21/2015,2/4/2015,2/9/2017
19,584,576247234-5,868,11/8/2015,11/22/2015,4/20/2017
20,572,212875015-6,756,5/10/2017,5/24/2017,10/15/2017
21,847,972367116-6,370,7/24/2015,8/7/2015,5/5/2016
22,627,261040134-5,616,9/22/2015,10/6/2015,7/20/2017
23,412,211602736-5,959,12/30/2014,1/13/2015,4/14/2015
24,336,810146150-7,223,5/24/2016,6/7/2016,6/9/2017
25,207,807969766-3,897,2/16/2015,3/2/2015,9/21/2015
26,101,731818702-3,649,4/7/2016,4/21/2016,11/6/2017
27,917,111431614-8,201,1/29/2016,2/12/2016,5/20/2017
28,930,203645703-7,360,4/3/2017,4/17/2017,6/8/2017
29,854,801797273-3,235,1/7/2017,1/21/2017,9/27/2017
30,592,152276604-9,373,7/31/2015,8/14/2015,1/7/2017
31,873,178536734-X,768,6/21/2017,7/5/2017,7/6/2017
32,735,603126700-4,560,6/27/2017,7/11/2017,11/14/2017
33,490,162868995-1,341,2/3/2016,2/17/2016,3/29/2016
34,168,420301809-9,618,12/24/2015,1/7/2016,3/13/2017
35,188,620629417-X,804,1/17/2016,1/31/2016,6/8/2016
36,494,453911010-1,215,8/21/2015,9/4/2015,3/21/2016
37,683,797708860-6,255,8/6/2016,8/20/2016,3/1/2017
38,692,953094946-4,375,10/18/2016,11/1/2016,4/30/2017
39,344,123071573-8,292,12/17/2014,12/31/2014,12/5/2016
40,926,229489785-4,107,1/2/2015,1/16/2015,12/31/2015
41,90,182437680-4,4,8/11/2015,8/25/2015,4/28/2017
42,636,022796086-6,293,1/31/2016,2/14/2016,4/24/2017
43,594,980292549-7,718,7/6/2016,7/20/2016,3/5/2017
44,486,212988914-X,321,8/24/2017,9/7/2017,11/4/2017
45,75,112241472-2,358,7/21/2017,8/4/2017,10/13/2017
46,842,983847909-8,438,3/13/2015,3/27/2015,11/16/2015
47,198,467682401-7,94,10/16/2016,10/30/2016,1/29/2017
48,968,324384987-X,640,10/3/2017,10/17/2017,11/1/2017
49,765,759662538-X,962,6/22/2016,7/6/2016,11/24/2016
50,49,381023684-5,533,5/29/2016,6/12/2016,6/28/2017
51,925,570670294-2,66,5/5/2016,5/19/2016,11/16/2016
52,342,431582681-2,659,9/2/2017,9/16/2017,10/9/2017
53,907,109005199-9,458,1/16/2016,1/30/2016,11/3/2017
54,198,597364708-0,241,10/30/2016,11/13/2016,4/4/2017
55,362,215444470-9,20,1/9/2017,1/23/2017,9/28/2017
56,304,012097305-7,213,2/18/2017,3/4/2017,5/18/2017
57,304,529061288-2,205,5/17/2015,5/31/2015,1/21/2016
58,610,953202854-4,209,4/7/2016,4/21/2016,10/13/2017
59,941,319831980-3,232,1/13/2015,1/27/2015,7/5/2017
60,709,670741237-X,47,3/21/2017,4/4/2017,10/29/2017
61,654,893913394-3,917,4/1/2017,4/15/2017,8/1/2017
62,436,140910618-7,767,6/17/2015,7/1/2015,8/11/2015
63,10,022715337-5,157,2/17/2016,3/2/2016,10/26/2017
64,290,099376656-0,29,7/4/2015,7/18/2015,10/25/2016
65,549,046213661-2,670,1/22/2015,2/5/2015,1/17/2016
66,725,694050782-5,184,9/23/2015,10/7/2015,11/3/2016
67,856,360512828-9,28,8/23/2015,9/6/2015,12/22/2016
