TitleID,Title,AuthorFirstName,AuthorLastName,Synopsis
1,AbovetheStreetBelowtheWater(Overgadenundervandet),Meredeth,Flockhart,Inquisjusto.Maecenasrhoncusaliquamlacus.Morbiquistortoridnullaultricesaliquet.Maecenasleoodiocondimentumidluctusnecmolestiesedjusto.Pellentesqueviverrapedeacdiam.Craspellentesquevolutpatdui.Maecenastristiqueestettempussemperestquampharetramagnaacconsequatmetussapienutnunc.VestibulumanteipsumprimisinfaucibusorciluctusetultricesposuerecubiliaCurae;Maurisviverradiamvitaequam.
2,SomeoneLikeYou,Coretta,Clemenza,Maurisenimleorhoncussedvestibulumsitametcursusidturpis.Integeraliquetmassaidlobortisconvallistortorrisusdapibusauguevelaccumsantellusnisieuorci.Maurislaciniasapienquislibero.Nullamsitametturpiselementumligulavehiculaconsequat.
3,16YearsofAlcohol,Ernst,Hapgood,Morbisemmaurislaoreetutrhoncusaliquetpulvinarsednisl.Nuncrhoncusduivelsem.Sedsagittis.Namconguerisussemperportavolutpatquampedelobortisligulasitameteleifendpedeliberoquisorci.Nullammolestienibhinlectus.Pellentesqueatnulla.Suspendissepotenti.Crasinpuruseumagnavulputateluctus.Cumsociisnatoquepenatibusetmagnisdisparturientmontesnasceturridiculusmus.Vivamusvestibulumsagittissapien.
4,MusicFromAnotherRoom,Anson,Crockley,Inhachabitasseplateadictumst.Morbivestibulumvelitidpretiumiaculisdiameratfermentumjustoneccondimentumnequesapienplaceratante.Nullajusto.Aliquamquisturpisegetelitsodalesscelerisque.Maurissitameteros.Suspendisseaccumsantortorquisturpis.Sedante.Vivamustortor.Duismattisegestasmetus.Aeneanfermentum.
5,AliGIndahouse,Everard,Maulden,Donecposueremetusvitaeipsum.Aliquamnonmauris.Morbinonlectus.Aliquamsitametdiaminmagnabibendumimperdiet.Nullamorcipedevenenatisnonsodalessedtincidunteufelis.Fusceposuerefelissedlacus.Morbisemmaurislaoreetutrhoncusaliquetpulvinarsednisl.Nuncrhoncusduivelsem.Sedsagittis.Namconguerisussemperportavolutpatquampedelobortisligulasitameteleifendpedeliberoquisorci.
6,TheBlackRose,Kellina,Beggi,Proineumi.Nullaacenim.Intemporturpisneceuismodscelerisquequamturpisadipiscingloremvitaemattisnibhligulanecsem.Duisaliquamconvallisnunc.Proinatturpisapedeposuerenonummy.Integernonvelit.Donecdiamnequevestibulumegetvulputateutultricesvelaugue.
7,BlackNarcissus,Licha,Roddy,Pellentesqueviverrapedeacdiam.Craspellentesquevolutpatdui.Maecenastristiqueestettempussemperestquampharetramagnaacconsequatmetussapienutnunc.VestibulumanteipsumprimisinfaucibusorciluctusetultricesposuerecubiliaCurae;Maurisviverradiamvitaequam.
8,Tora-sanOurLovableTramp(Otokowatsuraiyo),Aloin,Kirkpatrick,Proineumi.Nullaacenim.Intemporturpisneceuismodscelerisquequamturpisadipiscingloremvitaemattisnibhligulanecsem.Duisaliquamconvallisnunc.Proinatturpisapedeposuerenonummy.Integernonvelit.Donecdiamnequevestibulumegetvulputateutultricesvelaugue.VestibulumanteipsumprimisinfaucibusorciluctusetultricesposuerecubiliaCurae;Donecpharetramagnavestibulumaliquetultriceserattortorsollicitudinmisitametlobortissapiensapiennonmi.Integeracneque.Duisbibendum.
9,PeterPan,Austina,Rohan,Integeranibh.
10,IngmarBergmanonLifeandWork(IngmarBergman:Omlivocharbete),Lesli,Nason,Praesentlectus.Vestibulumquamsapienvariusutblanditnoninterduminante.VestibulumanteipsumprimisinfaucibusorciluctusetultricesposuerecubiliaCurae;Duisfaucibusaccumsanodio.Curabiturconvallis.Duisconsequatduinecnisivolutpateleifend.Donecutdolor.Morbivellectusinquamfringillarhoncus.Maurisenimleorhoncussedvestibulumsitametcursusidturpis.Integeraliquetmassaidlobortisconvallistortorrisusdapibusauguevelaccumsantellusnisieuorci.
